TXT,Polarity,Subjectivity
"Yea, I've seen him a lot. Good candidate. —",0.7,0.6000000000000001
,0.0,0.0
"If an editor has 10,000 edits to mainspace, and someone pops up to suggest that the editor has no content experience, that person should be ignored. Other than that, this is a thunk-he-was-already.",-0.125,0.375
"[[WP:NETPOS]]. Reviewed the candidate eralier and no reason to suppose he can't use the buttons wisely. <small><span style=""border:1px solid #0000ff;padding:1px;"">",0.35,0.5
"'''Neutral''' for now. I am concerned at the scarcity of significant conytent creation; while it is perfectly possiblec to be an excellent admin and not continue to create articles, some prior experience is I think essential; on the other hand, voting at AfD is actually wholly irrelevant to this discussion, because the final decision at an AfD is determined by an assessment of concensus, or lack thereof, and the admin's personal view should play no part in the decision.--<font color=""Red"">",0.1590909090909091,0.5409090909090909
"'''Neutral''' for now, I think that the candidate should be more experienced with more edits.",0.6,0.6333333333333333
'''Yes''' - CCI is hugely backlogged and needs every hand it can get. —&nbsp;,0.39999999999999997,0.9
{{pro}} --,0.0,0.0
'''Good''' --,0.7,0.6000000000000001
,0.0,0.0
"I trust your judgement. <span style=""text-shadow:grey 0.118em 0.118em 0.118em;"" class=""texhtml"">  '''",0.0,0.0
"You gave a tremendous answer to Q9; answering the first part so completely you answered the second part without an additional word. Believe me, I know I have nothing at all to be concerned with in this candidacy.--",0.1708333333333333,0.43333333333333335
Sure.--''',0.5,0.8888888888888888
Looks like you'll do well. You have my vote.,0.0,0.0
"No red flags, good record and a genuine need for the tools. <b>",0.3666666666666667,0.3666666666666667
The name sounds familiar. There is no indication that Bilby would misuse or abuse the tools.,0.375,0.5
,0.0,0.0
'''Suuport''' No concerns ''',0.0,0.0
Fully qualified candidate. -,0.0,0.0
100%.,0.0,0.0
