username,total_score,categ1,categ2,categ3,categ4,articles1,articles2,articles3,articles4,articles5,articles6,articles7,articles8,articles9,articles10
!---slappdash---!,394.0,Entertainment,Music,Sports,Culture,"['Rupture (band)', 30]","['The Cobra Group', 22]","['Trasharama A-Go-Go', 19]","['Blood Duster', 12]","['Propagandhi', 3]","['Australian hardcore', 3]","['Brutal Truth', 2]","['Dropdead', 1]","['Wacken Open Air', 1]","['Pyramid scheme', 1]"
%D0%90,665.0,Mass media,Lists,Geography,Education,"['List of Sundance Film Festival award winners', 60]","['List of films at the 2008 Sundance Film Festival', 59]","['Weber State University', 18]","['Ogden, Utah', 17]","['2008 Sundance Film Festival', 14]","['List of MyNetworkTV affiliates', 13]","['KTVX', 12]","['List of films at the 2007 Sundance Film Festival', 11]","['List of ABC television affiliates (by U.S. state)', 11]","['2006 Sundance Film Festival', 11]"
'sed,195.0,,,,,"['The Mansion Family', 1]","['Bloody Mary (South Park)', 1]","['Cartoon Wars Part I', 1]","['Cartoon Wars Part II', 1]","[""The Eight I'd Really Rather You Didn'ts"", 1]",,,,,
'sed',,Television,Cartoons,Culture,Humor,,,,,,,,,,
(,,Julien:): Sports,Politics,Society,History,,,,,,,,,,
(.Y.),131.0,Music,Lists,Technology,Entertainment,"['Slayer', 2]","['List of drummers', 1]","['List of bass guitarists', 1]","['Videogroove', 1]","['Blue Water High', 1]",,,,,
(:Julien:),592.0,,,,,"['2012 FIBA Europe Under-18 Championship', 11]","['2013 FIBA Europe Under-20 Championship', 9]","['Party of Communists of the Republic of Moldova', 7]","['List of names of European cities in different languages', 6]","['2011 FIBA Europe Under-16 Championship', 6]","['List of twin towns and sister cities in Asia', 5]","['Roch Marc Christian Kaboré', 5]","['Zeev Sternhell', 5]","['Third Zimmerwald Conference', 4]","['Nikolay Zabolotsky', 4]"
(aeropagitica),955.0,Television,Biography,Science,Technology,"['Millennium (TV series)', 8]","['Rui Silva (runner)', 8]","['List of Star Trek: Enterprise episodes', 8]","['Bryan Appleyard', 7]","['Shockwave (Star Trek: Enterprise)', 7]","['The Road (TV play)', 7]","['Armando Iannucci', 7]","['Raymond Nasher', 7]","['Martin Cooper (inventor)', 6]","['Staines Preparatory School', 5]"
*Kat*,682.0,Health,Fiction,Education,Law,"['Attention deficit hyperactivity disorder', 278]","['List of characters in the Honorverse', 105]","['RateMyProfessors.com', 25]","['Hypereides', 19]","['Charles II of England', 17]","['Henrietta of England', 17]","['Vaccine', 16]","['List of federal political sex scandals in the United States', 14]","['Rob Allyn', 13]","['Fictional world of The Hunger Games', 12]"
*drew,681.0,Geography,Mass media,Film,Culture,"['Jakarta', 74]","['Indonesia', 56]","['List of films: S–Z', 35]","['The Return (2003 film)', 34]","['List of French-language films', 32]","['List of films: E–I', 28]","['2005 in film', 28]","['List of films: J–R', 27]","['2004 in film', 27]","['Indonesian Idol', 22]"
