username,total_score
(:Julien:),592
-Midorihana-,693
-jha-,108
069952497a,864
1234r00t,649
131.211.210.14,30
1568,102
194.6.242.2,10
1ForTheMoney,708
202.58.85.8,134
211.30.169.132,1
23skidoo,992
24.93.170.23,0
2help,733
3leopard,410
5,100
64.230.2.27,0
6SJ7,589
71Demon,718
7OA,516
90,656
@pple,746
A.Z.,591
A6Patch,198
AAA!,761
ADH10,110
AKGhetto,657
ALargeElk,619
ATren,615
Aaroncrick,643
Abecedare,1186
Abhishek191288,104
Abrech,664
Abtmcm,420
Abögarp,626
Acalamari,1300
Account,100
Acebulf,971
Achowat,879
Acs4b,728
Actown,493
AdamSmithee,639
Adamsan,649
Adjwilley,129
Adoptlesds,102
Adwiii,554
Aeonx,855
Aeusoes1,757
Agathoclea,1174
Agne27,805
Aircorn,1022
Aitias,930
Ajraddatz,1017
Akradecki,924
Al-Qairawani,177
Alan.ca,727
Alanraywiki,102
Alaric,390
Albacore,100
Alessandra,100
Alex43223,901
AlexWaelde,787
Alexandros,626
Alfakim,651
Ali-oops,100
AlioTheFool,544
AliveFreeHappy,771
Allanon,519
Allmightyduck,806
Alphachimp,1009
Alterego,579
Alx-pl,517
Amalas,702
Amazon10x,465
Amcbride,750
Amorymeltzer,1191
Amynewyork4248,477
Ancient,100
AndieM,125
AndreasWashington,164
Andrew,100
AndrewN,765
AndriyK,516
Andrzej18,526
AndyTheGrump,954
Angelbo,582
Anglius,528
Angusmclellan,1038
Animum,1019
Anna,100
AnonEMouse,844
Anonymous101,720
Antares911,2
Anthony,733
Antidiskriminator,831
Anárion,601
Apis,100
Appleboy,424
ApprenticeFan,913
Apyule,705
Ar,286
Aranae,720
Arbeit,138
Arcandam,623
Archaeo,290
Ardenn,715
AresAndEnyo,535
Argyriou,734
ArieScheurwater,602
Arimareiji,463
Armanaziz,900
Arminius,552
Arnon,365
Arrow740,688
Arsonal,768
ArthurWeasley,508
Arvindn,551
Asbestos,756
AshLin,910
Ashenai,732
Asim,343
Asperal,444
Asteraki,551
Astronaut,784
Asyndeton,483
Atari2600tim,612
AtheWeatherman,794
Atlas87,190
Atomician,574
Aua,847
Audacitor,465
Autocracy,719
Avalon,715
Avenue,758
Avineshjose,102
Avraham,1200
Awesome,141
AxG,1058
Axon,664
Ayinyud,577
Azylber,752
BBwoman1,281
BM,703
BRUTE,605
Baad,526
BabyNuke,624
Badbilltucker,824
Badmintonhist,504
Bahudhara,745
BalanceRestored,517
Balloonman,750
Banes,784
Barfbagger,548
Barneca,788
BarretBonden,102
Baryonyx,498
BashmentBoy,497
Bassistphysicist,328
BazookaJoe,557
Bbik,623
Bcorr,885
Beamathan,584
Bearly541,685
Becritical,721
Beelzebubs,544
Bejinhan,734
Ben,664
Bencherlite,1081
Benjiboi,930
Benzband,817
Berig,1029
BesigedB,614
Bethling,703
Beyond495,429
Bgs022,102
Bhouston,105
BigDT,107
BigNate37,707
Bigjake,412
Bigtimepeace,916
Bikasuishin,516
BillCJ,103
Biofoundationsoflanguage,555
Biruitorul,991
Bjewiki,580
Björn,100
BlackJack,761
Blacksun,489
Blanchardb,1097
Blaxthos,835
Bling-chav,149
BlueAmethyst,656
BlueQ99,430
Blueboar,989
Bluelist,271
Blurpeace,1068
Bmicomp,856
BoNoMoJo,358
Bobanni,617
Bobdoe,704
Bobthefish2,437
Bogman2,261
Bonadea,1200
Bookofjude,813
Borb,567
Boris,100
Boulevardier,549
Boven,627
Boy1jhn,510
Brad101,819
Brandon,986
Breawycker,1071
Bretonbanquet,1037
Briangotts,809
Bridgeplayer,740
Brimba,620
BrokenSegue,1026
Brothejr,656
Brownman40,449
Brya,617
Bryson109,725
Bsimmons666,721
Btilm,863
Buchanan-Hermit,1005
Buggie111,949
Bukrafil,411
Bumm13,953
Burgwerworldz,605
Burntsauce,627
Bushytails,648
Butterflys,274
Bwrs,885
C'est,102
C.Logan,567
CAPS,0
CE,313
CJCurrie,1018
CL,629
CO,751
CQJ,666
CTSWyneken,677
CWood,478
Cactus.man,1093
Cadonian,120
Caf3623,472
Caknuck,972
Caliga10,643
Calton,874
Camelbinky,104
Camw,1097
Canadian2006,565
Canderous0,100
Canley,965
Cantthinkofagoodname,625
Canuckman,412
Capitalismojo,860
CaptainVindaloo,749
Carabinieri,773
Carbonrodney,708
Carla,413
Carnildo,851
Carrp,602
Casper2k3,771
Cassowary,576
Cat,100
Causesobad,585
Cctoide,444
Ceazar77,101
Celain,423
Celithemis,743
Cerebellum,1002
Ceyockey,1055
Chairman,100
Channel,102
Chardish,725
CharlieEchoTango,966
Chaser2,410
Chcknwnm,621
CheekyMonkey,561
ChesPal,518
Chetblong,100
ChildofMidnight,905
Chmouel,548
ChrisBradley,287
Chrism,835
Chzz,1100
Cindamuse,1115
Citizen,538
Ckatz,1095
Clarkbhm,646
Cleared,102
Cleonis,648
CloneDeath,372
Clovis,100
ClubOranje,870
Cmach7,450
Cncmaster,888
Coasterlover1994,824
Cocytus,805
Coemgenus,911
Cold,143
Collard,484
Colonel,100
ColumbusCrew29,490
Commodore,367
Computerjoe,831
Conce,512
Coolcaesar,836
CorbinSimpson,707
Coricus,524
Cosmokazi,432
Countincr,675
Cowardly,126
Crackthewhip775,712
Cranberry,0
CrazyInSane,103
CredoFromStart,599
Cretanforever,731
Crisu,596
Crockspot,816
Crossmr,814
Crowsnest,901
Cryptfiend64,503
Crystalfile,422
Csnewton,411
Cuchullain,976
Cumbrowski,759
Cuprum17,727
Cusop,100
Cwire4,153
Cybercobra,1022
CycloneGU,809
Cynwolfe,904
Czac,430
D'n,514
D.M.N.,820
DBZROCKS,730
DCLXVI,325
DDima,904
DFS454,813
DGrimshaw,107
DINOMAN,600
DRK,544
Dacium,512
Daedalus969,893
Dahn,879
Damsleth,440
DanBlackham,449
Danaman5,833
Danger,1103
Daniel11,588
DanielDemaret,720
Daniil,105
Danntm,700
Dantheman531,659
DarkHorizon,628
Darkness,100
Darkstar1st,626
Darthgriz98,871
DaughterofSun,614
Daveh4h,666
Davewild,1008
David1217,102
DavidJJJ,514
DavidWS,102
Davidjk,612
Davidwr,896
Davtra,100
Dbm11085,566
Dc76,759
Dcoetzee,812
De728631,1176
Deadbeef,963
DearCatastropheWaitress,507
December21st2012Freak,100
Deelkar,606
Deipnosophista,626
Dekkappai,800
Delirium,1152
Demi,688
Demonweed,288
Dengero,830
Derek.cashman,645
Derumi,714
Dewet,649
Dh993,528
DiLuna25,321
Diberri,688
Didie,401
DigitalNinja,692
Diligent,445
Dineshkannambadi,657
Dionyseus,753
Disavian,933
Dissident,748
Divide,464
Djlayton4,672
Dlae,748
Dmadeo,814
Dmn,768
Doc9871,774
Doctorbruno,611
Dogposter,573
Dolive21,653
Dominick,750
Donama,751
DonnEdwards,545
Doomgaze,109
DoriSmith,929
Dottydotdot,523
Dr.Gonzo,540
Dr.khan,216
DrL,590
Draftydoor,260
Dragonfiend,715
Dravecky,881
Drdak,544
DreamHaze,628
Drew,126
Drizzt,102
Dromioofephesus,608
Dryman,523
Dspserpico,705
Duke,100
Dureo,685
DustFormsWords,724
Dvortygirl,431
Dwayne,841
Dwr12,385
Dylant07,484
EJF,841
EVula,1109
Eagleamn,732
Eaomatrix,523
EauOo,541
Eclectek,569
EconomicsGuy,693
EddEdmondson,526
Editing,295
Editwriter2300,101
Edwin,448
Eequor,808
Egg,448
Ejgreen77,900
Elaragirl,731
ElectricEye,579
Elekhh,883
EleoTager,361
EliminatorJR,103
Eliyohub,287
Elrith,585
Emarsee,730
Emmelie,282
Ems2,618
Encephalon,749
Enviroknot,313
Equendil,786
Eric,859
Ericg,565
ErikHaugen,1045
Errabee,571
Eskimospy,531
Esrever,872
Esteffect,100
Etacar11,660
Etineskid,731
EugeneZelenko,554
EurowikiJ,430
Euthymios,420
Evanh2008,942
Evermore2,632
Evilgohan2,840
ExRat,918
ExplicitImplicity,560
Extra999,861
Extremepro,787
FNMF,541
Fabrib,621
Fadix,584
Fail,104
Faithlessthewonderboy,972
Falphin,723
Fangz,760
Fasach,0
Fatal!ty,545
Fawcett5,943
Fbv65edel,783
Feezo,1186
FellowWikipedian,532
Ferddog,454
Feydey,1050
Filiocht,633
Filnik,502
Fineday,247
Finlay,422
Fire,100
Fireduck,207
Firsfron,1061
Fishboy,246
Fixman,611
Flaming,717
FleetCommand,775
Flex,778
Floaterfluss,644
Floquenbeam,1189
Floul1,720
FluffyPug,318
Flyguy649,1025
Fneep,432
Folajimi,689
Footyfanatic3000,638
ForestH2,660
Fortunecookie289,538
Fowler&fowler,907
Franamax,858
Francium12,100
FrankWilliams,681
Frazzydee,846
Fred.e,528
Fredrik,719
FreelanceWizard,646
Fribbler,757
FriedMilk,601
Frise,430
Frood,1022
FrummerThanThou,709
Fuelbottle,582
Ginkgo100,949
Glenfarclas,867
Gmaxwell,760
Goatasaur,567
Goethean,918
GoldDragon,493
Goldensun,104
GoodCop,407
Goodshoped35110s,596
GordonWatts,520
Gosgood,637
Gpyoung,524
GraemeL,1026
Graibeard,638
Grandmasterka,102
Gravitan,610
Green451,701
Greenmountainboy,200
GregNorc,359
Greier,555
Gretab,432
Grim23,805
Gromlakh,917
GroovySandwich,706
Grubber,713
GruntiIda,114
Gryllida,844
Gtdp,717
Gubbubu,557
Guinnog,113
Gungadin,812
Gurubrahma,875
Guycalledryan,704
Gwandoya,612
Gwguffey,580
GyroMagician,604
HIZKIAH,455
HPJoker,503
Haber,565
Hadžija,593
Hairchrm,549
Hammer1980,1049
HandiGoatMasala,112
Hanuman,240
HappyCamper,930
