username,total_score
!---slappdash---!,394
%D0%90,665
'sed,195
(.Y.),131
(:Julien:),592
(aeropagitica),955
*Kat*,682
*Spark*,N/A
*drew,681
-Midorihana-,693
-Ril-,642
-Slash-,N/A
-The,N/A
-asx-,541
-jha-,108
.:Ajvol:.,601
.V.,554
.snoopy.,508
068152,323
069952497a,864
0L1,N/A
0pen$0urce,561
10014derek,439
12,N/A
1234r00t,649
123Hedgehog456,577
125.162.150.88,207
128.83.101.111,0
129.177.19.120,0
131.211.210.14,30
131.211.210.157,34
1362,102
154.20.253.177,0
156.34.142.110,423
1568,102
172,842
1948remembered,296
1ne,N/A
203.125.28.98,23
216.153.214.94,332
24.15.158.90,1
172.144.137.135,0
1966batfan,109
1of3,444
203.213.7.131,204
21655,690
24.18.171.99,227
172.162.10.219,0
198,486
2,857
205.157.110.11,323
217.33.207.195,234
24.46.201.42,236
2D,899
33451,539
4twenty42o,852
5faizan,389
69.121.245.182,37
69.121.245.182,37
71.112.134.138,7
76,411
83d40m,740
99of9,820
A.Garnet,547
A3RO,686
A930913,744
ABF,851
AFUSCO,N/A
69.121.245.182,37
AJCham,702
ALM,100
AMbroodEY,557
AP1787,822
ARUNKUMAR,0
AWilliamson,419
AaronS,612
Aatuapina,118
Abdelkweli,466
Abhijay,100
Aboutmovies,N/A
AbsolutDan,N/A
Abu-Fool,N/A
Academic,N/A
Accedie,710
Acdixon,846
Acer,576
Acps110,771
ActivExpression,551
Adam1213,536
Adamcobb,532
Addihockey10,898
Adjkasi,100
AdmiralTreyDavid,415
AdrianTM,473
Aegis,100
Aestetix,190
Afil,831
Agamemnon2,812
Ageo020,646
Agoodperson,412
Ahoerstemeier,902
Aiken,224
Airplaneman,"1,250"
Ajbpearce,103
Akhilleus,757
Akut,558
Alai,898
Alanbly,734
Alanyst,685
Alastair,128
AlbertCahalan,N/A
Alden,N/A
Aleksa,N/A
Alex,101
AlexNebraska,424
AlexandrDmitri,837
Alexius08,997
Alexwcovington,744
Ali,721
Alibabs,370
Alistair,N/A
AllTalking,476
Allen3,974
AllyUnion,862
Alokprasad84,623
Altamel,"1,042"
Altosax456,596
Amaas120,N/A
Amarkov,792
Ambuj.Saxena,790
Ameliorate!,881
Amgine,552
Amire80,952
Ams80,478
Anakin101,652
Ancheta,N/A
Anderson9990,N/A
AndreNatas,593
Andrensath,568
AndrewGNF,102
Andries,671
Andromedabluesphere440,747
AndyFinkenstadt,441
Andypandy.UK,821
AngelOfSadness,"1,035"
Angelo1345,492
Angryapathy,821
Anilocra,666
Anirudhsbh,136
Anmol.2k4,487
Anomie,982
Anonimu,822
Anowlin,104
Antandrus,"1,146"
Anthere,844
AntiVMan,283
Antoinou2958,N/A
Anynobody,608
Apers0n,635
ApolloBoy,658
Appleworm,264
Apteva,647
Aquillion,733
Arakunem,915
Aranherunar,N/A
ArcAngel,"1,141"
Arcfrk,643
Archivist,100
Archtransit,621
AreJay,639
Argentino,556
Arichnad,826
ArielGold,"1,004"
Arjun01,"1,025"
Arkyan,N/A
Armedblowfish,N/A
Arniep,693
AroundTheGlobe,691
Arseni,527
Arteyu,702
Arubiez,133
Arzel,559
Asenine,696
Ashdog137,638
Ashton1983,523
Asnatu,N/A
Assorg,103
AstroHurricane001,770
Astroview120mm,631
Atama,902
Atethnekos,802
Atlantic,N/A
Atomic,N/A
Attic,0
AuburnPilot,"1,050"
AudeVivere,N/A
Auroranorth,618
Austrian,615
Avador,580
Ave,725
Avicennasis,988
Avogadro94,445
Avruch,103
Awotter,606
Axiomm,418
Ayatollah,N/A
AzaToth,"1,207"
B.hotep,218
BACbKA,656
BL,103
BQZip01,N/A
BTLizard,692
BabelStone,864
Backburner001,630
Badagnani,902
Badgerpatrol,708
Bahamut0013,806
Bakasuprman,801
Bali,N/A
Banaticus,"1,001"
Banzai777,360
BarkingMoon,539
BaronLarf,911
Barts1a,879
BaseballBaby,N/A
Basketball110,713
Batman2005,696
Bbatsell,906
Bcat,693
Beagel,739
Bearian,"1,300"
Bec-Thorn-Berry,363
Beeblbrox,104
Begoon,957
Belinrahs,N/A
Belovedfreak,"1,013"
Benapgar,N/A
Bengalski,530
Bennose,378
Bensaccount,730
Berean,0
Bertilvidet,663
BetacommandBot,N/A
Betty,438
Bfissa,N/A
BhaiSaab,705
Bidabadi,N/A
Big,0
BigHairRef,820
Bigglove,445
Bignole,"1,026"
Bigweeboy,627
Bill,765
Billlion,721
Binksternet,N/A
Birdmessenger,453
Bjaco18,523
Bjrobinson,594
Bkwillwm,746
Blackjack48,512
Blake's,N/A
Blargh29,857
Bletch,587
Blofeld,100
Bloodzombie,491
Blue,N/A
BlueGoose,491
BlueSquadronRaven,736
Bluegoblin7,652
Bluemoose,781
Bmdavll,637
Bms4880,N/A
BobTheTomato,460
Bobby1011,618
Bobrayner,"1,103"
Boghog,920
Boing!,N/A
Bondego,470
Bookandcoffee,760
Bootstoots,670
Borgarde,804
BostonMA,652
Bourbons3,540
Bowsy,586
Bpeps,550
Bradjamesbrown,100
Bramlet,114
Brateevsky,645
Brendanfox,N/A
Brian0918,940
Brianann,N/A
Brichcja,811
Brilliant,N/A
Britishmid,151
Brookshawn,577
BrownHoner,105
Brusselsshrek,574
Bryce53,100
Bsf,N/A
Bswiki,N/A
Bubba,N/A
Bucky,N/A
Buffs,914
BuickCenturyDriver,851
Bullzeye,822
Bungle44,N/A
Burningclean,636
Bush,N/A
BusterD,"1,290"
Bwmoll3,651
Bzweebl,772
C.,N/A
C628,N/A
CComMack,615
CIreland,"1,169"
CJLL,N/A
CMummert,N/A
CPacker,591
CSTAR,734
CWii,763
Cabe6403,933
Caden,618
Caerwine,698
Caissa's,N/A
Caldorwards4,"1,064"
Callelinea,757
Calmypal,540
CalvinTy,495
Cambrasa,684
Cameron11598,976
Canadian,758
Canadianshoper,531
Canis,100
Canterbury,105
Canuckian89,"1,060"
CapMan07008,103
Capricorn42,870
Captainktainer,694
CarbonLifeForm,465
Cardinal,100
Caribbean,N/A
Carmelapple,520
Carptrash,926
Casliber,N/A
Cassianto,852
Caster23,580
Catbar,647
CattleGirl,788
Cberlet,679
Cchan199206,N/A
Cdc,682
Ceejayoz,738
Celcius,N/A
Centrx,977
Ceranthor,"1,236"
Certified.Gangsta,N/A
Chafford,316
Chamal,N/A
Chancemill,531
ChaoticReality,513
Charlie,N/A
Chase,100
ChazBeckett,485
Ched,"1,133"
Cheeser1,720
Chenzw,627
Chester,N/A
ChicagoPimp,N/A
Chidel,431
Chill,N/A
Chiwara,545
Cholmes75,922
Chrajohn,610
Chris24,611
ChrisGriswold,809
Chrishmt0423,869
Chrislintott,597
Christie,N/A
Chronic,N/A
Chuq,"1,015"
Chutznik,811
Cicero,N/A
Cirt,N/A
Cjrs,0
Clarence,N/A
Clawson,644
ClemRutter,805
Clio,N/A
Cloudbound,910
Clt13,430
Clyde,100
Cmckain14,616
Cnwb,786
Coccyx,N/A
Codf1977,812
Col,100
Colin,817
Collectonian,100
ColourSarge,513
Comic,372
ComputerGuy,172
ConCompS,855
Confuzion,580
Conscious,914
ContiE,102
CoolFox,516
Coppertwig,916
Coredesat,981
Cornucopia,541
Corvus,498
Counter-revolutionary,735
