username,total_score
!---slappdash---!,394
%D0%90,665
'sed,195
(.Y.),131
(:Julien:),592
(aeropagitica),955
*Kat*,682
*Spark*,N/A
*drew,681
-Midorihana-,693
-Ril-,642
-Slash-,N/A
-The,N/A
-asx-,541
-jha-,108
.:Ajvol:.,601
.V.,554
.snoopy.,508
068152,323
069952497a,864
0L1,N/A
0pen$0urce,561
10014derek,439
12,N/A
1234r00t,649
123Hedgehog456,577
125.162.150.88,207
128.83.101.111,0
129.177.19.120,0
131.211.210.14,30
131.211.210.157,34
1362,102
154.20.253.177,0
156.34.142.110,423
1568,102
172,842
1948remembered,296
1ne,N/A
203.125.28.98,23
216.153.214.94,332
24.15.158.90,1
172.144.137.135,0
1966batfan,109
1of3,444
203.213.7.131,204
21655,690
24.18.171.99,227
24ip,460
2over0,861
43?9enter,105
52,101
68.148.134.201,0
7,"1,122"
74.178.230.17,207
80.176.190.96,3
95j,610
A,516
A1octopus,757
A7x,604
AAAAA,616
ADNghiem501,100
AGP,299
AKMask,654
ALoan,100
AO,N/A
AR,N/A
AVand,717
Aarktica,736
Aaronhill,532
Abce2,911
Abeg92,859
Abhishikt,638
Absar,605
Abtract,596
Ac1983fan,N/A
Acather96,"1,112"
Accounting4Taste,886
Acegikmo1,681
Achromatic,488
Actinide,162
AdabowtheSecond,104
Adambiswanger1,790
Adashiel,954
AdiJapan,629
Adm58,469
Adraeus,627
Adz,631
AerobicFox,787
Aeæ,399
After,100
Agent,400
AgnosticPreachersKid,N/A
Agüeybaná,764
Ahwaz,617
Airodyssey,669
Aivazovsky,755
Akamad,668
Aksi,N/A
Alabamaboy,N/A
Alan16,597
Alanscottwalker,863
Alasdair,923
Albatross2147,696
Alcidebava,443
Alecmconroy,702
Aleta,104
Alex9891,N/A
Alexander,355
Alexf,N/A
Alexnia,100
Algebraist,711
Alias,101
Alison,"1,088"
Alkivar,880
Allefant,634
Allstarecho,963
Almost,100
Alphax,679
Alteripse,680
Alynna.Kasmira,3
Amalthea,"1,064"
Ambi,N/A
Amcfreely,609
AmericanJohn33,108
Amir1,422
Amphytrite,591
An,100
Anbu121,991
And,N/A
Andonic,"1,058"
Andreasegde,707
Andrew4010,416
Andrewa,917
Android,100
Andy,640
AndyZ,771
Anetode,977
Angelo,466
Angr,N/A
AniMate,930
Anir1uph,778
Ankit,113
Annalisa,139
AnonGuy,719
Another,N/A
Ansh666,845
Ante,N/A
Anthony.bradbury,N/A
Antiquary,716
Anupam,"1,059"
Aoi,909
Apjake,N/A
Appleseed,557
Aprock,669
Aquasplash,219
Arabani,448
Aranda56,N/A
Arbitrarily0,"1,020"
Arcayne,752
Archanamiya,N/A
ArchonMagnus,643
Ardo191,645
Arf!,579
Arhugefan,N/A
Ariedartin,538
Aris,N/A
Arknascar44,643
Armando341,197
Armon,650
Arnzy,N/A
Arrowhead1,231
Artaxiad,809
Arthurrh,N/A
Arwel,101
Ascidian,714
Ashapochka,214
Ashibaka,N/A
Askari,N/A
Assasin,N/A
Asterion,847
Astronomyinertia,640
Atabek,N/A
Atari965,103
AtilimGunesBaydin,624
Atmoz,104
Atropos,584
AubreyEllenShomo,846
Audacity,934
Aule,N/A
Austin,127
AutomaticStrikeout,905
Avatar-en,N/A
Averykrouse,533
Avnative,564
Avriette,N/A
Awesomeness,498
AxSkov,695
Axxand,651
Ayrton,N/A
Azythia,N/A
B3virq3b,466
BD2412,N/A
BMRR,827
BScar23625,481
Babajobu,790
Baccyak4H,708
Bad,N/A
Badger,N/A
Baegis,533
Baiji,497
Balcer,616
BanRay,892
Banime,638
Baristarim,868
Barneyboo,598
Barryob,712
Basalisk,N/A
Basil,100
Bastique,947
Bazzajf,360
Bbwlover,232
Bdamokos,438
Bear,100
Beatle,N/A
Bedford,690
Beeswaxcandle,831
Belanidia,507
BelloWello,646
BenAveling,679
BendersGame,715
Benmay,231
Benplowman,461
Benzocane,566
Bernard,308
Besu,305
Betsythedevine,724
Bezking,593
Bgwhite,N/A
Bibigon,436
Bielle,760
BigDom,"1,001"
Bigdottawa,613
Biglulu,611
Bigtop,103
Bikeable,757
BillDeanCarter,597
Billy227,N/A
Biophys,N/A
Bishonen,"1,186"
Bjmullan,529
Björn-Isak,N/A
Blackadam2,391
Blackworm,533
BlankVerse,731
Bleeding,180
Blinking,100
Bloodofox,910
Bltpdx,420
BlueBonnet,460
BlueSalo,634
Blueboy96,103
Blueman102,295
Blutacker,115
Bmills,N/A
Bob,697
Bobblehead,766
Bobet,913
Bogdan,154
Bogud,118
Bonafide.hustla,140
Bonkers,N/A
Booksworm,704
BorgHunter,907
Borisblue,818
BountyHunter2008,514
Bovineboy2008,N/A
BozMo,842
BradBeattie,989
Brambleberry,100
BrandonYusufToropov,660
BrenDJ,534
Brewcrewer,"1,045"
BrianWalker,N/A
Brianherman,302
Bright,100
Brisvegas,672
Brokenfrog,548
BrowardPlaya,383
Bruce1ee,N/A
Bryan,606
Bsadowski1,"1,031"
Bsmntbombdood,279
Btm,625
Bucketsofg,973
Buffadren,411
Bugs5382,697
BullRangifer,N/A
Bunchofgrapes,786
Burmeister,554
Burumbator,N/A
Businessman332211,626
Bwilkins,105
Bydand,116
C-M,478
C21K,530
CBDunkerson,861
CFIF,825
CJISBEAST,549
CLW,872
COGDEN,642
CRGreathouse,818
CWY2190,894
CXI,529
CactusWriter,"1,125"
Cadorna,235
Caglarkoca,311
Calabe1992,908
Caligvla,422
Callmederek,462
CalumH93,700
Camaron,102
CameoAppearance,479
Camyoung54,696
CanadianCaesar,876
Canderson7,963
Cannonbolt2,495
Cantus,578
Canyouhearmenow,782
Capitalistroadster,776
Captaindansplashback,233
Carba,308
Carcharoth,919
Cargoking,773
Carlosguitar,"1,001"
Carom,882
Carter,855
Caspian,469
CastAStone,842
Catalan,698
Cathardic,597
Cautious,623
Cbrown1023,"1,131"
Ccwaters,103
Cecropia,909
Celardore,593
Celtus,570
Cephyr,413
Cerejota,900
Cgingold,710
Challengethelimits,521
Chan,112
ChaosControl1994,111
Charitwo,647
CharlotteWebb,982
Chasingsol,906
Che,506
CheeseDreams,608
ChemistryProf,364
Chesdovi,779
Chezhiyan,566
Chickyfuzz14,592
Chili14,N/A
ChimpanzeeUK,109
Chodorkovskiy,651
Chowbok,789
Chris.lester,N/A
ChrisDHDR,100
ChrisTheDude,"1,013"
Chrisieboy,797
Christiaan,516
ChromaNebula,607
Chuckfromchan,254
Chussid,432
CiaraBeth,347
Cindery,465
CityOfSilver,N/A
Ckjy,161
Clarkcj12,"1,005"
Cleduc,729
CliffHarris,N/A
Closedmouth,"1,127"
ClovisPt,540
ClueBot,N/A
Cmadler,755
Cncplayer,102
Coasttocoast,682
Code,120
Coffee,"1,200"
Coldmachine,718
Colle,N/A
Color,100
Comedy240,456
Complainer,781
Compwhizii,100
Condem,N/A
ConnorJack,714
Conte,396
Cool,N/A
Coolcat,N/A
CordeliaHenrietta,N/A
CorleoneSerpicoMontana,535
Corruptcopper,746
Coumarin,312
CountyLemonade,119
Cowcam,181
Craftsman2001,431
Crassic,100
Crazycomputers,"1,068"
CrazytalesPublic,371
Cremepuff222,936
Crew29,488
CrispMuncher,103
CrnaGora,621
Crocogator,237
