,username,total_score,categ1,categ2,categ3,categ4,idx_PV
0,!---slappdash---!,394.0,Entertainment,Music,Sports,Culture,6239.0
4,%D0%90,665.0,Mass media,Lists,Geography,Education,1846.0
8,'sed,195.0,,,,,4194.0
12,'sed',,Television,Cartoons,Culture,Humor,
13,(,,Julien:): Sports,Politics,Society,History,
14,(.Y.),131.0,Music,Lists,Technology,Entertainment,6970.0
18,(:Julien:),592.0,,,,,6190.0
23,(aeropagitica),955.0,Television,Biography,Science,Technology,36.0
27,*Kat*,682.0,Health,Fiction,Education,Law,2712.0
31,*drew,681.0,Geography,Mass media,Film,Culture,1111.0
35,-Midorihana-,693.0,Education,Robotics,Philosophy,Society,512.0
40,-Ril-,642.0,Religion,History,Culture,Mythology,1321.0
44,-asx-,541.0,Politics,History,Law,Media,6561.0
48,-jha-,108.0,Entities,,,,4579.0
53,.,,Ajvol:.: History,Government,Economy,Society,
54,.:Ajvol:.,601.0,,,,,5378.0
58,.V.,554.0,Conspiracy theories,Science,Philosophy,Religion,1752.0
62,.mdk.,631.0,Sports,Entertainment,People,Society,
63,.snoopy.,508.0,Sports,Entertainment,People,Culture,2770.0
67,068152,323.0,Military,Education,Business,Technology,6789.0
71,069952497a,864.0,Geography,Economics,Literature,Arts,2263.0
76,0pen$0urce,561.0,Health,Entertainment,Business,Science,3717.0
80,10014derek,439.0,Chemistry,Geography,Technology,Food and drink,4737.0
84,1234r00t,649.0,Natural disasters,Politics,People,History,1484.0
89,123Hedgehog456,577.0,Entertainment,Health,Geography,Nature,2517.0
93,125.162.150.88,207.0,History,Military,Law,People,2964.0
97,128.83.101.111,0.0,,,,,7220.0
101,129.177.19.120,0.0,,,,,7003.0
105,131.211.210.14,30.0,Business,Entertainment,Geography,Economy,7279.0
110,131.211.210.157,34.0,Sports,Culture,Food and drink,Media,7402.0
114,1362,102.0,,,,,4755.0
118,154.20.253.177,0.0,,,,,4947.0
122,156.34.142.110,423.0,Music,History,Other,,3401.0
126,1568,102.0,,,,,5497.0
131,172,842.0,Politics,History,Economics,Society,398.0
135,172.144.137.135,0.0,,,,,4909.0
139,172.162.10.219,0.0,,,,,7268.0
140,17Drew,730.0,Music,Culture,Business,Communication,3521.0
142,194.6.242.2,10.0,Culture,Arts,Geography,,7091.0
143,1948remembered,296.0,History,Society,,,4657.0
147,1966batfan,109.0,Sports,People,,,4697.0
151,198,486.0,Politics,History,Health,Human behavior,6747.0
152,198.110.249.200,5.0,Government,Law,Education,Crime,7295.0
153,1ForTheMoney,708.0,Technology,Entertainment,Gaming,Lists,2243.0
154,1of3,444.0,Politics,War,Science,Media,4260.0
158,2,857.0,Transportation,Culture,Music,Education,1688.0
159,2004-12-29T22,,45Z: Media,Politics,Sports,Geography,
160,2004-12-29T22:45Z,662.0,,,,,5092.0
161,202.58.85.8,134.0,Religion,Science,Economy,History,5082.0
162,203.125.28.98,23.0,Culture,Society,Entertainment,Philosophy,6829.0
166,203.213.7.131,204.0,Sports,Media,Technology,Education,6580.0
170,205.157.110.11,323.0,,,,,4531.0
171,207.6.58.42,5.0,Politics,Society,Government,History,6613.0
172,211.30.169.132,1.0,History,,,,6077.0
173,216.153.214.94,332.0,Politics,Technology,Military,Sports,3097.0
177,21655,690.0,Entertainment,Music,Sports,People,2742.0
181,217.33.207.195,234.0,Geography,Culture,Information,Sports,7020.0
182,23prootie,634.0,Politics,History,Society,Other,4322.0
183,23skidoo,992.0,Entertainment,Television,Film,Science Fiction,7128.0
184,24.15.158.90,1.0,Mathematics,Statistics,,,5853.0
188,24.18.171.99,227.0,Philosophy,Human Behavior,Concepts,Culture,5748.0
192,24.46.201.42,236.0,Education,Technology,Health,Nature,4447.0
193,24.55.228.56,205.0,Health,People,Law,Society,7124.0
194,24.93.170.23,0.0,,,,,5514.0
195,24ip,460.0,Human behavior,Law,Nature,Other,4061.0
196,28bytes,1086.0,Entertainment,Technology,Lists,Internet,271.0
197,2D,899.0,Sports,Technology,Internet,Education,4163.0
199,2help,733.0,People,Government,Education,Culture,4524.0
200,2over0,861.0,Science,Health,Alternative Medicine,Education,1179.0
202,32X,540.0,Business,Technology,History,Entertainment,6261.0
203,33451,539.0,Technology,Media,People,Culture,4551.0
204,3centsoap,464.0,Culture,Communication,Government,Society,2655.0
205,3leopard,410.0,History,Language,Geography,Culture,5461.0
206,43?9enter,105.0,Education,People,History,Lists,4811.0
207,49TL,932.0,Internet,Communication,Technology,Education,
208,4kinnel,368.0,Military,Government,Entertainment,Politics,6920.0
209,4twenty42o,852.0,Religion,Sports,Technology,Law,5137.0
210,4wajzkd02,616.0,Internet,Business,Engineering,Food and drink,4635.0
211,5,100.0,,,,,
212,52,101.0,,,,,
213,578,514.0,History,Science,People,Society,7153.0
214,5faizan,389.0,Culture,Education,Media,Other,2689.0
215,64.12.116.133,243.0,Religion,Entertainment,Sports,Politics,6301.0
216,64.230.2.27,0.0,,,,,6493.0
217,68.148.134.201,0.0,,,,,4720.0
218,68.190.178.87,28.0,Technology,Internet,Science,Philosophy,6547.0
219,69.121.245.182,37.0,Nature,Weather,Technology,Society,6850.0
222,69.57.154.67,10.0,,,,,6720.0
223,6SJ7,589.0,Politics,Geography,History,Law,1353.0
224,7,1122.0,Geography,Education,Technology,Nature,470.0
225,71.106.28.156,1.0,Mathematics,,,,6119.0
226,71.112.134.138,7.0,Sports,,,,6548.0
227,7107delicious,547.0,Business,Culture,Government,Society,1509.0
228,71Demon,718.0,Military,History,Geography,Transportation,6253.0
229,72Dino,668.0,Geography,Business,Sports,Education,
230,74.178.230.17,207.0,Biography,Food and drink,Culture,Law,6206.0
231,75.62.7.22,42.0,Science,Information,Music,Literature,5198.0
232,76,411.0,Geography,Recreation,Education,Transportation,5605.0
233,78.26,1273.0,Entertainment,History,Music,Lists,2863.0
234,7OA,516.0,Mass media,Nature,Food and drink,Entertainment,3852.0
235,80.176.190.96,3.0,Sports,Geography,,,4216.0
236,82,385.0,People,Entertainment,Technology,Animals,6275.0
237,83d40m,740.0,History,People,Geography,Arts,6227.0
238,86654,,Health,People,Animals,Politics,
239,8bitJake,437.0,Politics,Society,Technology,Media,5330.0
240,90,656.0,Government,Culture,Law,Religion,6334.0
241,95j,610.0,Entertainment,Internet,Sports,Media,4837.0
242,99of9,820.0,Nature,Religion,Geography,Culture,2025.0
243,9cds,739.0,Mass media,Education,Geography,Entertainment,2340.0
244,@pple,746.0,Government,People,Arts,Military,668.0
245,A,516.0,History,Culture,Geography,Society,6298.0
246,A.,151.0,Sports,Geography,Lists,Technology,
247,A.Garnet,547.0,Politics,History,Religion,Society,3334.0
248,A.Savin,590.0,Geography,Culture,History,Architecture,5409.0
249,A.Z.,591.0,Law,Health,Government,Society,1296.0
250,A1octopus,757.0,Entertainment,Music,Film,Arts,6667.0
251,A2Kafir,732.0,History,Sports,Education,Military,6668.0
252,A3RO,686.0,Business,Communication,Mass media,Entertainment,2383.0
254,A412,1010.0,Gaming,Technology,Board games,Casual games,3525.0
255,A6Patch,198.0,Health,Medicine,Science,Concepts,7327.0
256,A7x,604.0,Geography,Lists,Politics,Science,925.0
257,A8UDI,675.0,Law,Mass media,Medicine,Nature,1429.0
258,A930913,744.0,Entertainment,Food and drink,History,Society,4621.0
259,AA,757.0,Culture,Government,Religion,Technology,2550.0
260,AAA!,761.0,Internet,Life,Mass media,Other,3615.0
261,AAAAA,616.0,Academic disciplines,History,Law,Military,7029.0
262,ABCD,801.0,Academics,Information,Internet,Technology,1959.0
263,ABF,851.0,Arts,History,Humanities,Nature,764.0
264,ACupOfCoffee,537.0,Entertainment,History,Knowledge,Media,6965.0
265,ADH10,110.0,,,,,3276.0
266,ADNghiem501,100.0,,,,,2828.0
267,AED,619.0,Health,Medicine,Science,Society,4780.0
268,AFigureOfBlue,1029.0,Entertainment,Technology,History,Entities,
269,AFriedman,113.0,,,,,3808.0
270,AGP,299.0,People,Sports,History,Entertainment,5684.0
271,AI,627.0,Politics,Law,Military,Philosophy,6674.0
272,AJCham,702.0,Sports,Society,Business,Lists,2412.0
273,AKAF,571.0,Technology,Science,Geography,Engineering,771.0
274,AKGhetto,657.0,Geography,Culture,Economy,Society,4704.0
275,AKMask,654.0,Mass media,Politics,Entertainment,Society,922.0
276,AL2TB,612.0,Transportation,Geography,History,Business,5110.0
277,ALM,100.0,,,,,
278,ALR,638.0,Military,Government,Concepts,Philosophy,2719.0
279,ALargeElk,619.0,Health,Sports,Religion,Technology,2949.0
280,ALoan,100.0,,,,,2756.0
281,AMK152,909.0,Entertainment,Culture,Lists,Other,4459.0
282,AMbroodEY,557.0,History,People,Religion,Politics,2646.0
283,ANNAfoxlover,605.0,Entertainment,Internet,Mass media,Lists,4591.0
284,AP1787,822.0,Technology,Military,Government,Engineering,4990.0
285,APclark,505.0,Television,Fictional characters,Lists,Family,5532.0
286,ARBAY,102.0,,,,,5934.0
287,ARUNKUMAR,0.0,,,,,
288,ASCIIn2Bme,763.0,Concepts,History,War,Philosophy,3565.0
289,ATren,615.0,Science,Sports,Technology,People,2870.0
290,AVand,717.0,Law,Philosophy,Disease,Conflict,2876.0
291,AWeenieMan,679.0,Education,Technology,Entertainment,Television,6805.0
292,AWilliamson,419.0,Religion,History,Occultism,People,7340.0
293,Aarem,676.0,Geography,Culture,People,Entertainment,
294,Aarktica,736.0,Military,Security,Sports,Biography,6081.0
295,Aaron,626.0,Mass media,Geography,Entertainment,,802.0
296,AaronS,612.0,Philosophy,History,Society,Politics,2247.0
297,AaronY,950.0,History,Sports,People,Culture,
298,Aaronbrick,673.0,People,Culture,Music,Language,5863.0
299,Aaroncrick,643.0,Sports,Geography,Entertainment,,290.0
300,Aaronhill,532.0,Government,Economy,Education,Society,5353.0
301,Aatomic1,684.0,History,Military,Espionage,Law,3482.0
302,Aatuapina,118.0,,,,,4099.0
303,Abaddon314159,455.0,Technology,Security,Espionage,Law,3744.0
304,Abce2,911.0,Entertainment,Fiction,Lists,Video games,810.0
305,Abd,670.0,Science,Politics,Health,Environment,2381.0
306,Abdelkweli,466.0,Culture,People,Music,Society,4180.0
307,Abductive,876.0,History,Nature,Lists,People,1738.0
308,Abecedare,1186.0,Religion,Culture,Geography,Society,634.0
309,Abeg92,859.0,Politics,Education,Law,Technology,933.0
310,Abhijay,100.0,,,,,5550.0
311,Abhishek191288,104.0,,,,,4086.0
312,Abhishikt,638.0,Sports,Technology,Science,Philosophy,7073.0
313,Abigor,437.0,Health,Entertainment,Information,Military,5411.0
314,Abminor,1129.0,Business,Economy,Information,Sports,
315,Aboutmovies,,Business,Government,Geography,Education,
316,Abrech,664.0,People,Geography,Society,Time,1739.0
317,Absar,605.0,Geography,Politics,International Relations,Culture,3878.0
318,Abscissa,558.0,Concepts,Entertainment,Mathematics,Social Issues,7275.0
319,Abstract,,Sports,Geography,Science,Culture,
320,Abstruce,547.0,Politics,History,Philosophy,Sociology,5210.0
321,Abtmcm,420.0,History,Education,People,Humanities,6460.0
322,Abtract,596.0,,,,,5737.0
323,Abyssal,,Nature,Lists,History,Science,
324,Abögarp,626.0,Government,Politics,Culture,Economy,4019.0
325,Academia,100.0,,,,,
326,Acalamari,1300.0,Entertainment,People,Music,Arts,1.0
327,Acather96,1112.0,Food and drink,Plants,Technology,Nature,1173.0
328,Accdude92,453.0,Internet,Television,Time,Other,4982.0
329,Accedie,710.0,Philosophy,Literature,Religion,Society,3343.0
330,Access,105.0,Technology,Internet,Economy,Business,
331,Account,100.0,,,,,
332,Accounting4Taste,886.0,Literature,People,Entertainment,Arts,735.0
333,Accurizer,932.0,History,Entertainment,Geography,People,950.0
334,Acdixon,846.0,Politics,Government,Culture,Sports,5138.0
335,Acebulf,971.0,Health,Business,Technology,Nature,5338.0
336,Acegikmo1,681.0,Music,Television,Film,Literature,1355.0
337,Acela,117.0,Transportation,,,,
338,Acer,576.0,Literature,History,Food and drink,Religion,2443.0
339,Acetic,4.0,Medicine,,,,
340,Achowat,879.0,Sports,Entertainment,Society,Law,904.0
341,Achromatic,488.0,Technology,Film,Military,Internet,1193.0
342,Acme,121.0,Science Fiction,Technology,Entertainment,Universe,
343,Acps110,771.0,Transportation,Geography,Entertainment,Lists,1101.0
344,Acroterion,,Geography,History,Technology,Color,
345,Acs4b,728.0,Government,Business,Education,Media,2199.0
346,Actinide,162.0,Science,Geology,Nature,,5585.0
347,ActivExpression,551.0,Sports,Video Games,Culture,Technology,2553.0
348,Activision45,473.0,Gaming,Religion,Transportation,University,6051.0
349,Actown,493.0,Online Communities,Entertainment,Technology,Radio,2584.0
350,AdabowtheSecond,104.0,People,,,,5151.0
351,Adam,724.0,Gaming,Speedrunning,Education,Art,
352,Adam1213,536.0,Software,Technology,Geography,Science,1518.0
353,AdamJacobMuller,722.0,Entertainment,Sports,People,History,6230.0
354,AdamSmithee,639.0,Economics,Mathematics,Philosophy,Politics,4168.0
355,Adambiswanger1,790.0,Religion,Literature,Philosophy,Other,522.0
356,Adambro,869.0,Transportation,Media,Society,Sports,2391.0
