User,Participation,total_score,Power Score,Positive_Vote_Ratio,Average_Polarity
Acalamari,61987,1300.0,0.8470427518867714,0.9763560500695411,0.5058170798898072
Stifle,57998,1297.0,0.8235555798645624,0.6229205175600739,0.09175541401273885
Siva1979,89307,827.0,0.8180769230769231,0.8500851788756388,0.4512054383116883
Bearian,56537,1300.0,0.8165296844556916,0.9071428571428571,0.4918774803149606
Juliancolton,41846,1277.0,0.7254326180168789,0.7878787878787878,0.3649201342281879
Malinaccier,47010,1180.0,0.7170367569411307,0.915948275862069,0.6415730275229358
SoWhy,30145,1300.0,0.6687680558977,0.7410358565737052,0.45573851590106
Bibliomaniac15,31478,1279.0,0.6681542372034612,0.9300699300699301,0.42127388535031846
Daniel,29806,1282.0,0.6599470101931303,0.4892966360856269,0.12659604519774012
Newyorkbrad,47998,1017.0,0.6598759924822003,0.9918864097363083,0.4631571428571428
PhilKnight,31661,1220.0,0.6464864967294814,0.9420289855072463,0.6368412186379928
Lankiveil,40251,1086.0,0.6430411084447767,0.7979274611398963,0.10941252955082742
GlassCobra,39101,1099.0,0.6416025712804205,0.8019559902200489,0.5722403263403263
MONGO,43164,1039.0,0.6412732799415665,0.9456928838951311,0.2718662408759124
Fastily,35533,1133.0,0.634703232963932,0.5353535353535354,0.2646402409638554
Xoloz,53741,865.0,0.6335679487466601,0.47129909365558914,0.4211957163958641
Sjakkalle,34564,1120.0,0.6242780655619659,0.9130434782608695,0.5956637469586374
Majorly,38229,1058.0,0.6209512497222169,0.8290398126463701,0.40265055679287304
Merovingian,46465,933.0,0.6189854501980228,0.9358669833729216,0.04255862445414847
Ceranthor,25441,1236.0,0.6178162549161138,0.9137931034482759,0.4482481781376518
Rogerd,35608,1068.0,0.6101231375616075,0.9260869565217391,0.3683890086206897
Kudpung,19596,1300.0,0.6097070745526616,0.621301775147929,0.5734085858585858
Jayjg,33003,1102.0,0.6086153742792715,0.8613861386138614,0.2935019801980198
Airplaneman,22463,1250.0,0.606527858409031,0.905940594059406,0.5709013100436682
HJ Mitchell,18856,1300.0,0.6055640158555976,0.7654320987654321,0.5290473404255319
NuclearWarfare,22787,1212.0,0.5937264616556042,0.7598039215686274,0.3472709821428572
OlEnglish,19494,1255.0,0.5918283119921308,0.89375,0.6141988372093024
Kusma,21288,1221.0,0.5887955068916034,0.9032258064516129,0.40049788359788363
Axl,47218,837.0,0.5862782154356069,0.7142857142857143,0.42644418604651163
EdJohnston,18661,1252.0,0.586010725440103,1.0,0.4262639053254438
Husond,28954,1102.0,0.5859461247327684,0.7237237237237237,0.39837206703910616
Stephen,23236,1182.0,0.584701828975226,0.8656716417910447,0.24485721393034823
Sceptre,23663,1163.0,0.5797847935102991,0.8983957219251337,0.2499144278606965
Phantomsteve,14156,1300.0,0.579249994401272,0.7130434782608696,0.3802123376623377
Soap,16443,1259.0,0.5762850544971567,0.8092105263157895,0.466405487804878
RegentsPark,23833,1148.0,0.5749673464957992,0.8823529411764706,0.5444117370892019
Wisdom89,40297,907.0,0.5744524960851971,0.4408817635270541,0.3020392578125
JoshuaZ,29315,1063.0,0.5729672655295794,0.8156862745098039,0.34019926739926737
Useight,24697,1130.0,0.572881570537943,0.5703971119133574,0.5530708737864077
Mazca,25503,1118.0,0.5727787606655768,0.9116279069767442,0.7815859030837004
