username,total_score
!---slappdash---!,394
%D0%90,665
'sed,195
(.Y.),131
(:Julien:),592
(aeropagitica),955
*Kat*,682
*Spark*,N/A
*drew,681
-Midorihana-,693
-Ril-,642
-Slash-,N/A
-The,N/A
-asx-,541
-jha-,108
.:Ajvol:.,601
.V.,554
.snoopy.,508
068152,323
069952497a,864
0L1,N/A
0pen$0urce,561
10014derek,439
12,N/A
1234r00t,649
123Hedgehog456,577
125.162.150.88,207
128.83.101.111,0
129.177.19.120,0
131.211.210.14,30
131.211.210.157,34
1362,102
154.20.253.177,0
156.34.142.110,423
1568,102
172,842
1948remembered,296
1ne,N/A
203.125.28.98,23
216.153.214.94,332
24.15.158.90,1
172.144.137.135,0
1966batfan,109
1of3,444
203.213.7.131,204
21655,690
24.18.171.99,227
28bytes,"1,086"
32X,540
4kinnel,368
578,514
68.190.178.87,28
71.106.28.156,1
75.62.7.22,42
82,385
999,N/A
A.,151
A2Kafir,732
A8UDI,675
ABCD,801
AED,619
AI,627
AL2TB,612
AMK152,909
AP,N/A
ARBAY,102
AWeenieMan,679
Aaron,626
Aatomic1,684
Abd,670
Abeo,N/A
Abigor,437
Abscissa,558
Abu,N/A
Academia,100
Accdude92,453
Accurizer,932
Acela,117
Acme,121
Action,N/A
Adam,724
Adambro,869
Addhoc,N/A
Aditya,747
Admiral,N/A
Adrian,125
Aecis,818
Aervanath,"1,029"
AfD,N/A
AfterHelper11,130
AgentB1,188
Agnte,699
Ahodges7,531
Aiden,100
AirplanePro,710
Aj00200,588
Akendall,786
Aktron,573
Alabamaslamma,102
AlanBarrett,498
Alansohn,N/A
AlasdairGreen27,788
Albedo,518
AldeBaer,N/A
Aleenf1,912
Alethiophile,543
AlexJFox,572
AlexanderWinston,419
Alexfusco5,100
Alexsanderson83,534
Alhutch,817
Aliasd,648
AlisonW,911
All,N/A
Allemandtando,580
Allthedamnnamesaretaken,165
Alnokta,601
Alpta,518
Alton,641
Alzarian16,728
Amanniste,421
Ambivalenthysteria,N/A
AmeIiorate,106
Amerique,677
Amir85,619
Amren,605
AnOddName,662
Ancapp,102
And-Rew,N/A
AndonicO,102
Andrei,N/A
Andrew73,641
Andrewman327,"1,017"
Android79,796
Andy4789,106
Andylkl,615
Angel,N/A
Angelo.romano,"1,038"
AngryParsley,500
Anietor,652
Anirishwoman,446
AnmaFinotera,"1,067"
Anom8trw8,549
AnonMoos,921
AnotherSolipsist,427
Antaeus,N/A
Antelan,589
Anthonyhcole,894
Antivenin,102
Anwar,N/A
Apantomimehorse,438
Apoc2400,887
Appletrees,N/A
Apterygial,609
Aquilina,636
Aradic-es,488
Aranel,780
Arbustoo,711
Arce,373
Archer7,535
Archtrain,N/A
Ardric47,883
Arfan,523
Ari89,708
ArielGlenn,424
Aristovoul0s,524
Arkon,615
Armbrust,N/A
Arndisdunja,502
Aromanian,137
Ars,100
Artem,115
Artichoker,685
Arxiloxos,808
Asdfasdf1231234,612
Ashay,0
Ashley,N/A
Askolnick,466
Assimoff,N/A
Astral,607
Astrotrain,676
Atakdoug,566
Atemperman,596
Atlan,789
Atomaton,737
Atsakiris,409
AuburnPiIot,453
Aude,952
Aunt,100
AustralianRupert,"1,050"
Autumnleaf,396
Avb,686
Avg,660
Avocado,636
Avril,N/A
Awickert,659
AxelBoldt,796
AySz88,647
Az1568,711
B,"1,179"
B4rr4g3,430
BDD,"1,035"
BOZ,972
BSveen,508
BabbaQ,"1,051"
Bachrach44,N/A
BadSeed,546
Badgernet,802
Bagumba,N/A
Bailo26,867
Baldhur,543
Banana04131,643
BanyanTree,N/A
BarkingFish,962
Barnham,414
Bart133,817
Baseball,N/A
Basket,N/A
Bastun,"1,116"
Bballoakie,445
Bbx,706
Bduke,948
Bearcat,N/A
Beau99,621
Bedivere,763
Beetstra,N/A
Belasd,716
Bellwether,N/A
BenB4,652
Bendono,609
Benne,589
Bens,165
Berasategui,444
BernardL,524
Betacommand,892
Bettia,N/A
Bfigura,913
Bhadani,N/A
Bibliomaniac15,"1,279"
Biff,N/A
BigDunc,862
Bigger,N/A
Bigman17,254
Bigvinu,119
Bilby,"1,146"
Billinghurst,"1,044"
BillyH,583
Biosketch,586
Bishzilla,699
Bjones,776
Bkonrad,N/A
Blackcap,N/A
Bladestorm,540
Blankfaze,N/A
Bless,N/A
Blnguyen,N/A
Bloodpack,652
Blu,N/A
BlueFen,393
BlueShirts,N/A
Bluefox,N/A
Bluemask,814
Bmaganti,430
Bmrbarre,679
BobNewbie123,158
Bobby,N/A
Bobo,N/A
Bogdangiusca,904
Boguslavmandzyuk,772
Bonaparte,549
BoojiBoy,694
Boothy443,785
BorgQueen,"1,113"
Bornhj,800
Bouquet,245
Bovlb,876
Bože,N/A
Bradeos,N/A
Brambleclawx,869
Brandonfarb,158
Brendanconway,924
Brian,696
BrianY,619
Brianjd,617
Brighterorange,852
BritishWatcher,686
Brookie,906
BrownHairedGirl,N/A
Brusegadi,707
BryanG,767
Bsayusd,508
Bstone,N/A
Bua333,410
Buckeye80,101
Buffbills7701,919
Bugtrio,546
Bulldog123,718
Bungle,"1,022"
Burner0718,673
Burzmali,689
Buster7,993
Bwithh,648
Bzuk,895
C-randles,666
C4MB,206
CBM,962
CHAK,100
CJK,539
CMJMEM,420
CP\M,720
CS42,539
CWenger,838
CaSJer,701
Cacycle,776
Caernarvon,403
Cailil,836
Calabraxthis,709
Callanecc,"1,300"
Calmer,101
Calvin,100
Camaron1,102
Cameron,900
Can't,N/A
CanadianNine,549
Candlewicke,N/A
Canoe1967,776
Canuckguy,557
Cao,189
Caponer,N/A
Captainj,591
CarbonCopy,630
Cardamon,719
CaribDigita,902
Carlossuarez46,N/A
Carpet9,449
Casito,707
Cassandra,102
Castellanet,462
Catamorphism,662
CatherineMunro,691
Cavarrone,"1,018"
Cburnett,901
CdaMVvWgS,635
Cedar-Guardian,N/A
Celarnor,643
Cenarium,"1,162"
Ceradon,"1,069"
Ceriy,733
Chacor,730
Chalst,820
Chanakal,948
Chaosdruid,866
Charles,723
CharonX,578
Chavatshimshon,N/A
CheNuevara,N/A
Cheesehead,100
Chensiyuan,852
ChessAndCookies,434
Chiacomo,618
Chicocvenancio,505
Chiliad22,522
Chip123456,760
Choess,"1,063"
Chowells,701
Chris.urs-o,790
ChrisDJackson,N/A
Chrisd87,674
Chrisjnelson,827
Christian,N/A
Chromancer,762
Chunky,N/A
Chuthya,424
CiaranG,719
Ciraric,417
Cjewell,575
Cla68,752
Claudevsq,674
Clem23,521
Climie.ca,641
CloudNine,741
Clpo13,"1,279"
Cluetrainwoowoo,285
Cmapm,661
Cntras,815
Coburnpharr04,510
CodeMonk,426
Cohesion,805
Coldplay,N/A
Collect,727
ColourBurst,643
Cometstyles,706
Complex,108
Comrade,N/A
ConfuciusOrnis,805
Connormah,"1,234"
Conti,848
Cool3,762
Cooldude\,N/A
Cordless,100
Cornerbock,416
Cortonin,559
Count,132
Courcelles,N/A
Cowman109,869
Craftyminion,835
Craw-daddy,806
Crazymonkey1123,872
Cream,123
Cresix,713
Cribananda,500
Crispmuncher,707
Cro0016,N/A
Crohnie,630
Crotalus,100
Crumbsucker,662
CrypticBacon,744
Crzrussian,893
Ctjf83,103
