username,total_score
(:Julien:),592
-Midorihana-,693
-jha-,108
069952497a,864
1234r00t,649
131.211.210.14,30
1568,102
194.6.242.2,10
1ForTheMoney,708
202.58.85.8,134
211.30.169.132,1
23skidoo,992
24.93.170.23,0
2help,733
3leopard,410
5,100
64.230.2.27,0
6SJ7,589
71Demon,718
7OA,516
90,656
@pple,746
A.Z.,591
A6Patch,198
AAA!,761
ADH10,110
AGK,N/A
AKGhetto,657
ALargeElk,619
ANTONIOROCKS,N/A
AQu01rius,N/A
ATren,615
Aabha,N/A
Aaroncrick,643
Abcdefghijklm,N/A
Abecedare,"1,186"
Abhishek191288,104
Abrech,664
Abtmcm,420
Abögarp,626
Acalamari,"1,300"
Account,100
Acebulf,971
Achowat,879
Acs4b,728
Actown,493
AdamSmithee,639
Adamsan,649
Addyboy,N/A
Adjwilley,129
Adoptlesds,102
Adwiii,554
Aeonx,855
Aeusoes1,757
Afonso,N/A
Agathoclea,"1,174"
Agne27,805
Aguerriero,N/A
Ahunt,N/A
Aircorn,"1,022"
Aitias,930
Ajraddatz,"1,017"
Akradecki,924
Al-Qairawani,177
Alan.ca,727
Alanraywiki,102
Alaric,390
Albacore,100
Albion,N/A
Ale,N/A
Alessandra,100
Alex43223,901
AlexWaelde,787
Alexandros,626
Alexj2002,N/A
Alfakim,651
Ali-oops,100
AlioTheFool,544
AliveFreeHappy,771
Allanon,519
Allmightyduck,806
Almog,N/A
Alphachimp,"1,009"
Alterego,579
Alx-pl,517
Amalas,702
Amazon10x,465
Amcbride,750
American,N/A
Aminz,N/A
Amorymeltzer,"1,191"
Amynewyork4248,477
Anas,N/A
Ancient,100
AndieM,125
AndreasWashington,164
Andrew,100
AndrewN,765
AndriyK,516
Andrzej18,526
AndyTheGrump,954
AnemoneProjectors,N/A
Angelbo,582
Anglius,528
Angusmclellan,"1,038"
Animum,"1,019"
AnkhMorpork,N/A
Anna,100
AnonEMouse,844
Anonymous101,720
Anser,N/A
Antares911,2
Anthony,733
Antidiskriminator,831
AntonioMartin,N/A
Anárion,601
Apis,100
Appleboy,424
ApprenticeFan,913
Apyule,705
Ar,286
Aranae,720
Arbeit,138
Arcandam,623
Archaeo,290
Archon,N/A
Ardenn,715
AresAndEnyo,535
Argyriou,734
ArieScheurwater,602
Arimareiji,463
Arkady,N/A
Armanaziz,900
Arminius,552
Arnon,365
Arrow740,688
Arsonal,768
ArthurWeasley,508
Arvindn,551
Asbestos,756
AshLin,910
Ashenai,732
Asim,343
Asperal,444
Asteraki,551
Astronaut,784
Asyndeton,483
Atari2600tim,612
AtheWeatherman,794
Atlas87,190
Atomician,574
Aua,847
Audacitor,465
Auger,N/A
AussieLegend,N/A
Autocracy,719
Avalon,715
Avenue,758
Avineshjose,102
Avraham,"1,200"
Awesome,141
AxG,"1,058"
Axon,664
Ayinyud,577
Azylber,752
B.wilson,N/A
BBwoman1,281
BM,703
BRUTE,605
Baad,526
BabyNuke,624
Backslash,N/A
Badbilltucker,824
Badmintonhist,504
Bahudhara,745
BalanceRestored,517
Balloonman,750
Banes,784
Barfbagger,548
Barneca,788
BarretBonden,102
Baryonyx,498
BashmentBoy,497
Bassistphysicist,328
BazookaJoe,557
Bbik,623
Bcorr,885
Beamathan,584
Bearly541,685
Becritical,721
Beelzebubs,544
Bejinhan,734
Bellatrix,N/A
Ben,664
Bencherlite,"1,081"
Benjiboi,930
Benon,N/A
Benzband,817
Berig,"1,029"
BesigedB,614
Bethling,703
Beyond495,429
Bgs022,102
Bhouston,105
Biekko,N/A
BigDT,107
BigNate37,707
Bigjake,412
Bigtimepeace,916
Bikasuishin,516
BillCJ,103
Billy,N/A
Biofoundationsoflanguage,555
Biruitorul,991
Bjewiki,580
Björn,100
BlackJack,761
Blacksun,489
Blanchardb,"1,097"
Blaxthos,835
Bling-chav,149
Blooded,N/A
Blow,N/A
BlueAmethyst,656
BlueQ99,430
Blueboar,989
Bluelist,271
Blurpeace,"1,068"
Bmicomp,856
BoNoMoJo,358
Bobanni,617
Bobdoe,704
Bobthefish2,437
Bogman2,261
Bonadea,"1,200"
Bongwarrior,N/A
Bookofjude,813
Borb,567
Boris,100
Boulevardier,549
Boven,627
Boy1jhn,510
Brad101,819
Brain,N/A
Brandon,986
Breawycker,"1,071"
Bretonbanquet,"1,037"
BrianSmithson,N/A
Briangotts,809
Bridgeplayer,740
Brimba,620
BrokenSegue,"1,026"
Brothejr,656
Brownman40,449
Brya,617
Bryson109,725
Bsimmons666,721
Btilm,863
Buchanan-Hermit,"1,005"
Budgiekiller,N/A
Buggie111,949
Bukrafil,411
Bumm13,953
Burgwerworldz,605
Burntsauce,627
Bushytails,648
Butterflys,274
Bwrs,885
C'est,102
C.Logan,567
CAPS,0
CE,313
CJCurrie,"1,018"
CL,629
CO,751
CQJ,666
CTSWyneken,677
CWood,478
Cactus.man,"1,093"
Cadonian,120
Caf3623,472
Caknuck,972
Caliga10,643
Callipides,N/A
Calton,874
Camaeron,N/A
Camelbinky,104
Camw,"1,097"
Canadian2006,565
Canderous0,100
Canley,965
Cantthinkofagoodname,625
Canuckman,412
Capitalismojo,860
CaptainVindaloo,749
Carabinieri,773
Carbonrodney,708
Carerra,N/A
Carla,413
Carnildo,851
Carrp,602
Casper2k3,771
Cassowary,576
Cat,100
Catfish,N/A
Causesobad,585
Cbl62,N/A
Cctoide,444
Ceazar77,101
Celain,423
Celithemis,743
Ceoil,N/A
Cerebellum,"1,002"
Ceyockey,"1,055"
Chairman,100
Chammy,N/A
Channel,102
Chardish,725
CharlieEchoTango,966
Chaser2,410
Chcknwnm,621
CheekyMonkey,561
Chelseaboy,N/A
ChesPal,518
Chetblong,100
Chicken,N/A
ChildofMidnight,905
Chimeric,N/A
Chmouel,548
Chosen,N/A
Chris.B,N/A
ChrisBradley,287
ChrisO,N/A
Chrishonduras,N/A
Chrism,835
Christopherparham,N/A
Chuck,N/A
Churn,N/A
Chzz,"1,100"
Cindamuse,"1,115"
Citizen,538
Ckatz,"1,095"
Clarkbhm,646
Cleared,102
Cleonis,648
CloneDeath,372
Clovis,100
ClubOranje,870
Cmach7,450
Cncmaster,888
Coasterlover1994,824
Cocytus,805
Coemgenus,911
Cold,143
Collard,484
Colonel,100
ColumbusCrew29,490
Commodore,367
Computerjoe,831
Conce,512
Connel,N/A
Consumed,N/A
Cookiecaper,N/A
Coolcaesar,836
CorbinSimpson,707
Coricus,524
CorrectKnowledge,N/A
Cosmokazi,432
Countincr,675
Cowardly,126
Crackthewhip775,712
Cranberry,0
CrazyInSane,103
Crazytales56297,N/A
CredoFromStart,599
Cretanforever,731
Crisco,N/A
Crisu,596
Crockspot,816
Crossmr,814
Crowsnest,901
Cryptfiend64,503
Crystalfile,422
Csnewton,411
Cuchullain,976
Cumbrowski,759
Cuprum17,727
Cusop,100
Cwire4,153
Cybercobra,"1,022"
CycloneGU,809
Cygnis,N/A
Cynwolfe,904
Czac,430
D'n,514
D.M.N.,820
DBZROCKS,730
DCLXVI,325
DDima,904
DFS454,813
DGrimshaw,107
DINOMAN,600
DMacks,N/A
DRK,544
DVD,N/A
Dacium,512
Daedalus969,893
Dahn,879
Dakpowers,N/A
Damsleth,440
DanBlackham,449
Danaman5,833
Danger,"1,103"
Daniel11,588
DanielDemaret,720
Danielfolsom,N/A
Daniil,105
Danntm,700
Dantheman531,659
Dario,N/A
DarkHorizon,628
Darkness,100
Darkstar1st,626
Darthgriz98,871
DaughterofSun,614
Daveh4h,666
Davewild,"1,008"
David1217,102
DavidJJJ,514
DavidWS,102
Davidjk,612
Davidwr,896
Davtra,100
Dbachmann,N/A
Dbm11085,566
Dc76,759
Dcoetzee,812
De728631,"1,176"
Deadbeef,963
DearCatastropheWaitress,507
December21st2012Freak,100
Deco,N/A
Deelkar,606
Deepujoseph,N/A
Deipnosophista,626
Dekkappai,800
Delirium,"1,152"
Demi,688
Demonweed,288
Dengero,830
Dennis,N/A
Deor,N/A
Derek.cashman,645
Derumi,714
Deserted,N/A
Deus,N/A
Dewet,649
Dh993,528
DiLuna25,321
Diberri,688
Didie,401
Dieter,N/A
DigitalNinja,692
Diligent,445
Dineshkannambadi,657
Dionyseus,753
Disavian,933
Dissident,748
Divide,464
Djlayton4,672
Dlae,748
Dmadeo,814
Dmn,768
Doc9871,774
Doctorbruno,611
Dogposter,573
Dolive21,653
Dominick,750
Don,N/A
Donama,751
DonnEdwards,545
Doomgaze,109
DoriSmith,929
Dottydotdot,523
Douglasmtaylor,N/A
Downunda,N/A
Dpmuk,N/A
Dr.Gonzo,540
Dr.khan,216
DrL,590
Draftydoor,260
Dragonfiend,715
Dravecky,881
Drdak,544
DreamHaze,628
Drew,126
Drizzt,102
Drmies,N/A
Dromioofephesus,608
Dryman,523
Dspserpico,705
Duck,N/A
Duke,100
DuncanHill,N/A
Dureo,685
DustFormsWords,724
Dvortygirl,431
Dwayne,841
Dwr12,385
Dylant07,484
DÜNGÁNÈ,N/A
E@L,N/A
EJF,841
EVula,"1,109"
Eagleamn,732
Eaomatrix,523
East,N/A
EauOo,541
Eclectek,569
EconomicsGuy,693
EdBoy002,N/A
EddEdmondson,526
Edgar181,N/A
Edinburgh,N/A
Editing,295
Editwriter2300,101
Eduard,N/A
Edwin,448
Eequor,808
Egg,448
Einar,N/A
Ejgreen77,900
El,N/A
Elaragirl,731
ElectricEye,579
Elekhh,883
EleoTager,361
Eli,N/A
EliminatorJR,103
Eliyohub,287
Ellisjm,N/A
Elrith,585
Emarsee,730
Emmelie,282
Ems2,618
Encephalon,749
Endofskull,N/A
English,N/A
