username,total_score
!---slappdash---!,394
%D0%90,665
'sed,195
(.Y.),131
(:Julien:),592
(aeropagitica),955
*Kat*,682
*Spark*,N/A
*drew,681
-Midorihana-,693
-Ril-,642
-Slash-,N/A
-The,N/A
-asx-,541
-jha-,108
.:Ajvol:.,601
.V.,554
.snoopy.,508
068152,323
069952497a,864
0L1,N/A
0pen$0urce,561
10014derek,439
12,N/A
1234r00t,649
123Hedgehog456,577
125.162.150.88,207
128.83.101.111,0
129.177.19.120,0
131.211.210.14,30
131.211.210.157,34
1362,102
154.20.253.177,0
156.34.142.110,423
1568,102
172,842
1948remembered,296
1ne,N/A
203.125.28.98,23
216.153.214.94,332
24.15.158.90,1
172.144.137.135,0
1966batfan,109
1of3,444
203.213.7.131,204
21655,690
24.18.171.99,227
<<<<<<< HEAD
17Drew,730
198.110.249.200,5
2004-12-29T22:45Z,662
207.6.58.42,5
23prootie,634
24.55.228.56,205
2eschew,N/A
3centsoap,464
4wajzkd02,616
64.12.116.133,243
69.57.154.67,10
7107delicious,547
78.26,"1,273"
8bitJake,437
9cds,739
A.Savin,590
A412,"1,010"
AA,757
ACupOfCoffee,537
AFriedman,113
AKAF,571
ALR,638
ANNAfoxlover,605
APclark,505
ASCIIn2Bme,763
AYArktos,N/A
Aaronbrick,673
Abaddon314159,455
Abductive,876
Abhinandan,N/A
"Abraham,",N/A
Abstruce,547
Abyssal,N/A
Academy,N/A
Access,105
Ace,N/A
Acetic,4
Acroterion,N/A
Activision45,473
AdamJacobMuller,722
Adamfinmo,766
Addshore,"1,263"
AdjustShift,902
Admrboltz,"1,087"
Advanced,581
Aeon1006,853
Aeuio,441
Aflumpire,636
Agapetos,8
Agha,N/A
Agriculture,521
Ahonc,713
Aillema,502
Ais523,778
Ajm81,565
Aknorals,589
Al,N/A
Alan,490
Alanl,726
Alarbus,636
Alastor,N/A
Albinomonkey,541
Aldux,933
Alensha,734
Alex.muller,"1,056"
AlexR,718
Alexandria,"1,059"
AlexiusHoratius,"1,044"
Alf.laylah.wa.laylah,914
Ali'i,586
Alinnisawest,779
AlistairMcMillan,941
Allan,N/A
Allgoodnamesalreadytaken,338
AllynJ,N/A
Alpha,N/A
Altenmann,N/A
Altruism,677
Amadscientist,162
Amatulic,106
Ambuj.saxena,N/A
America69,602
AmiDaniel,927
Amoruso,728
AmusedRepose,589
AnakngAraw,711
Anchoress,705
Andewz111,120
Andrea105,652
Andrevan,"1,183"
AndrewHowse,690
Andris,712
Andrwsc,904
AndyL,N/A
Anecdote,438
Angela,989
Anger22,809
Angrysockhop,682
Animeshkulkarni,103
Anittas,592
Ann,N/A
Anomo,632
Anonymous,N/A
Ansell,654
Antarctic-adventurer,630
Anthon01,542
Anticipator,599
Antonio,N/A
Anythingyouwant,911
Aphrael,N/A
Apollomelos,441
Appraiser,750
Apwoolrich,728
Aqwis,914
Aramgar,547
Aravind,234
Arcana,N/A
Arch,223
Archola,618
Arctic,N/A
Aren't,N/A
Argyle,100
Arichperson,110
Arienh4,103
Ark30inf,531
ArmadilloFromHell,805
Armeisen,354
ArnoldReinhold,835
Arrigo,574
Arsenikk,907
Arthur,N/A
Arunram,833
Asabbagh,518
Asgardian,610
Ashdurbat,534
Asics,692
Aspects,N/A
Astanhope,727
Astrokey44,N/A
Astrowob,562
Atanamir,561
Athaenara,957
Atlantis,100
Atomic-Super-Suit,N/A
AttishOculus,359
Aucaman,690
Audiovideo,551
Ausir,801
AutoGyro,597
Avala,830
Avenged,N/A
Avillia,588
Avono,108
Awadewit,110
Awyong,102
Axl,837
Aydee,530
Azathar,600
B.s.n.R.N.,103
BANG!,N/A
BLGM5,483
BRMo,757
BWD,662
Baby,N/A
Backsigns,258
Badanedwa,N/A
Badlydrawnjeff,N/A
Bahn,N/A
Baku87,N/A
Ballista,625
Bancroft,N/A
Barely,N/A
Barkjon,589
Barras,582
Baryonic,100
Baseballmes,355
Bass,N/A
Batmanand,714
Bbb23,N/A
Bcnviajero,415
BeakerK44,365
Bearian'sBooties,750
Becksguy,809
Beeblebrox,N/A
Beit,N/A
Belkis,136
Belugaboy,124
Benc,632
BenjaminTsai,N/A
Bennyboyz3000,104
Bensdream,N/A
Beria,571
Berton,750
Beth,N/A
Beyond,N/A
Bggoldie,N/A
Bharatveer,490
Bidgee,"1,103"
BigCow,644
BigHaz,963
Biggspowd,581
BigrTex,832
Bigz,513
BillC,917
Billreid,815
Biofase,610
BirgitteSB,700
Bjcairns,560
Bjweeks,103
Black,100
Blackknight12,"1,005"
Blakegripling,N/A
Blarneytherinosaur,624
BlindEagle,759
Blood,N/A
Bloom6132,808
Blue520,832
BlueMoonlet,724
BlueValour,114
Bluejean,N/A
Bluerasberry,"1,105"
Bmg916,821
Bmusician,"1,002"
Bobamnertiopsis,941
Bobbybuilder,N/A
Bobsmith319,529
Boghog2,112
Bomac,612
Bongomatic,858
Bookkeeperoftheoccult,639
Booyabazooka,N/A
Boricuaeddie,N/A
Bottesini,739
Bournesupremacyisreal,106
Boxero,202
Br'er,N/A
Bradv,"1,300"
Brandmeister,940
Bratsche,736
Brendenhull,N/A
BrianKnez,635
Brianga,"1,081"
Bridesmill,605
Brilliantine,700
Brockert,757
Broooooooce,436
Brownlee,537
Bruvtakesover,102
Brylcreem2,417
Bsharvy,N/A
Btball,683
Bucephala,472
BuddingJournalist,104
Buford2004,132
Buickid,638
Bulwersator,707
Burgundavia,717
Burnte,516
Bushcarrot,N/A
Butseriouslyfolks,830
Bwowen,N/A
C,104
C.Fred,N/A
C678,107
CDThieme,568
CJ,919
CJS102793,N/A
CNash,540
CQ,663
CT,100
CWii2,145
Cacophony,676
CadenS,102
Caesura,834
CakeProphet,112
CalendarWatcher,858
Calliopejen1,"1,041"
Caltas,710
Calwatch,782
CambridgeBayWeather,N/A
Campbell,N/A
Canadian-Bacon,804
Canderous,N/A
Canjth,584
Canticle,616
Canuckid,216
CapitalR,638
Captain,218
CarTick,836
Carbonite,762
CardinalDan,802
Carioca,879
Carmen,0
Carrite,"1,003"
Casmith,100
Cassivs,538
CasualFighter,563
Catchpole,N/A
Caulde,"1,030"
Cbing01,587
Ccool2ax,N/A
Cdogsimmons,838
Ceha,643
Celestianpower,856
Centurion,100
Cerealkiller13,431
CesarB,"1,042"
Chairboy,817
Chameleon,638
Changlc,N/A
Chaoticfluffy,103
CharlieDelta,839
Chaser,"1,141"
Chazz88,695
Chedzilla,490
Chelman,460
Chergles,599
Chet,N/A
Chick,N/A
Chidom,104
Chillum,107
Chmod007,676
Chooserr,623
Chris,175
Chris4315,306
ChrisGualtieri,N/A
Chrishomingtang,104
Chrislk02,865
Christopher,119
Chubbles,"1,107"
Church,969
Chwech,548
Cimon,N/A
Citicat,925
Ck,N/A
Claritas,781
Clayoquot,957
Clementina,636
ClockworkSoul,855
Cloveapple,684
CltFn,643
Cma,516
Cmouse,568
Cnyborg,541
Cocoaguy,967
Coelacan,995
Colchicum,678
Colincbn,600
Collingwood,400
Columbia,523
Commander,449
ComputerGuy890100,170
ConMan,707
Congolese,103
Constantine,516
ContinueWithCaution,968
CoolKatt,100
Coralmizu,839
Coren,997
Corpx,844
Cosmic,N/A
CounterFX,121
Covington,567
